source_id,ra,dec,parallax,parallax_error,ruwe,phot_g_mean_mag,bp_rp,phot_bp_mean_mag,phot_rp_mean_mag,j_m,h_m,ks_m,ph_qual
2067479578491424512,306.4114849238007,40.19845965888368,0.4937819638923541,0.033056732,1.0601447,16.048172,2.1606731,17.145952,14.985279,13.311,12.715,12.469,AAA
2067479578491425024,306.408801529087,40.19893017141846,0.4064206818936999,0.06562634,0.9883626,17.273062,3.2513475,19.187101,15.935754,13.359,12.533,12.11,AAA
2067479578493633536,306.40537994642295,40.18953104185535,1.1839239087623254,0.03592136,1.5095192,10.726775,0.29165936,10.800693,10.509033,10.284,10.201,10.19,AAA
2067479642911891712,306.3754336847392,40.17974568210962,0.4365334436234524,0.042394582,1.731547,15.4954195,2.435174,16.80017,14.364997,12.453,11.475,10.789,AAA
2067479647210905344,306.3744774204727,40.183310271068095,0.6720682173602853,0.0728288,1.0023463,17.554485,2.3651295,18.818472,16.453342,14.669,13.951,13.774,UAA
2067479681570646144,306.35441169510926,40.173781154158064,0.668120297796308,0.08904449,0.9446128,17.746094,2.6149597,19.221231,16.606272,14.684,13.901,13.729,AAA
2067479711631380224,306.3608630388958,40.19939685876991,0.5346815646841256,0.09550882,0.9967373,17.900333,2.72369,19.431913,16.708223,14.465,13.391,13.02,AAA
2067479750290120960,306.3777576290078,40.19247825898633,0.5674661263624154,0.014033777,1.1193702,14.053293,2.0220003,15.063203,13.041203,11.479,10.954,10.718,AAA
2067479814710594176,306.3697705988033,40.198728812863926,0.8009836060585352,0.082831666,1.0097983,17.74975,2.1963615,18.906603,16.710241,15.183,14.42,14.06,AAA
2067479819009599104,306.37536724415446,40.194928992282925,0.3336474137263383,0.057172935,1.0699884,16.933815,3.1168242,18.7543,15.637475,13.212,12.435,12.035,AAA
2067479819009599488,306.3826871404171,40.20681651573757,0.5580038749772039,0.023523645,1.0350606,15.333284,1.816102,16.206764,14.390662,13.049,12.653,12.501,AAA
2067479819009600000,306.3736376031189,40.20605977372516,0.931617858283742,0.055450343,1.029599,17.057228,1.9434166,18.023113,16.079697,14.597,13.939,13.511,AAA
2067479849070341376,306.38972068608086,40.21178580266519,0.8910087552491879,0.083953165,1.0628963,17.72864,2.1688385,18.854973,16.686134,15.201,14.503,14.275,AAA
2067479849070344704,306.3885489889135,40.22249172626742,0.7383308085206529,0.08700437,1.0299033,17.715084,1.9224815,18.63617,16.713688,15.33,14.582,14.471,AAA
2067479883430046336,306.4675266890839,40.144124320306155,1.3555560231328148,0.034924418,3.1540613,9.449861,1.2320852,9.9896755,8.75759,7.869,7.34,7.233,AAA
2067479883430053376,306.47353547799526,40.1509434999161,0.7548634566536642,0.079380676,0.90624136,17.601948,3.2701359,19.557934,16.287798,13.847,13.008,12.619,AAA
2067479887729051264,306.47195543933276,40.14366828816651,1.138716924357278,0.035285536,1.001018,16.08712,2.8618908,17.72018,14.85829,12.634,11.911,11.639,AAA
2067479990808268800,306.4760812804006,40.171238909209556,0.9068707691131301,0.07541913,1.0294008,17.402231,2.4461575,18.71971,16.273552,14.434,13.764,13.546,AAA
2067480020869009664,306.4969121013985,40.16650670608961,2.924104847942849,0.05959628,1.0320983,17.072634,2.5166616,18.447456,15.930795,14.394,13.712,13.531,AAA
2067480020869010944,306.4983076294255,40.17168877673426,0.7434173699817991,0.018199254,1.2689393,12.780914,2.7407866,14.32326,11.582474,9.728,9.032,8.576,AAA
2067480025163070848,306.5009399443297,40.16623853425593,0.7412022209225907,0.09609613,1.1082771,16.722805,,,,12.613,11.84,11.539,AAA
2067480025168003328,306.5000282693267,40.16485642883691,1.4873290388630866,0.027889282,1.0900905,15.631501,1.3315067,16.228685,14.897179,14.006,13.384,13.23,AAA
2067480025168003456,306.5007525922412,40.166091244111534,0.6635695997855926,0.07801283,1.188159,16.492474,2.7958193,17.45695,14.66113,12.613,11.84,11.539,AAA
2067480025168004352,306.49169539354284,40.16395421845218,1.5030305962983606,0.030319303,0.9325012,15.937639,1.4330645,16.598845,15.16578,14.245,13.592,13.418,AAA
2067480231326446336,306.436322057835,40.18084200335813,3.6146527847144023,0.06116557,0.99650973,17.220676,2.3012772,18.416227,16.11495,14.723,14.163,14.079,AAA
2067480261387191552,306.45756909541456,40.19385299604247,1.5395556908818457,0.05305033,1.0089449,16.916815,1.7826595,17.761148,15.978489,14.902,14.173,14.052,AAA
2067480300045916032,306.483743639739,40.19174221207717,0.8891069384089572,0.01671877,1.1654817,14.182938,1.9771729,15.168997,13.191824,12.054,11.352,11.091,AAA
2067480300046445056,306.47674417838516,40.200877626133014,0.3915746599963158,0.053193074,0.9927567,16.796373,2.8903446,18.44248,15.552135,13.26,12.49,12.1,AAA
2067480334405656576,306.4841916856224,40.208060426364675,2.609152772177581,0.012490854,1.0175109,13.610216,1.0459852,14.052077,13.006092,12.28,11.853,11.769,AAA
2067480334405657472,306.4857349351821,40.2155741424009,2.1537183206809085,0.0096303215,0.8860383,12.13489,0.9449444,12.524164,11.57922,10.934,10.565,10.501,AAA
2067480368765396096,306.46922014416646,40.198183474397894,2.1353850297557018,0.06730737,1.0275346,17.191795,2.3652267,18.437555,16.072329,14.591,13.962,13.681,AAA
2067480368765398016,306.463934322741,40.20078961697007,0.19241583549953317,0.082071,1.3823609,17.039389,2.350006,18.230654,15.880648,13.963,13.29,13.037,AAA
2067480368765398784,306.458969472121,40.20029225107559,0.7432099237072552,0.03573512,1.0850582,16.077892,1.7206163,16.895395,15.174779,13.906,13.361,13.222,AAA
2067480368765399680,306.4649995908369,40.21427427261113,0.9145070115640791,0.017584467,1.0803934,14.5894575,1.3896818,15.210773,13.821092,12.863,12.486,12.386,AAA
2067480398826882944,306.4696137354726,40.21247972148122,0.2746637492243311,0.10531001,1.0270528,17.697754,3.3772068,19.699953,16.322746,13.538,12.345,11.879,AAA
2067480403125134976,306.47710208110306,40.209534583673346,0.6096954267155722,0.028655333,1.0138592,15.670302,2.183754,16.799887,14.616133,12.894,12.237,11.829,AAA
2067480403127351808,306.47140494057567,40.22329955276207,0.3197126924876856,0.24449001,8.180839,16.442898,1.6446266,16.597218,14.952591,13.758,13.177,13.055,AAA
2067480501905365888,306.49764388168194,40.2028909296388,1.0812285380552744,0.09955185,0.9862788,17.916698,1.979351,18.906761,16.92741,15.675,15.058,14.643,AAB
2067480536265837824,306.5135985721232,40.216877071561065,2.6944756858298677,0.11802048,1.0391625,17.84659,2.8588314,19.403044,16.544212,14.67,14.045,13.738,AAA
2067480540559156608,306.5279668902783,40.21658461032998,0.5897430178727675,0.07417748,2.4925003,15.594719,1.8446798,16.280628,14.435948,13.017,12.438,12.287,AAA
2067480540564080640,306.5248174565662,40.21097208727829,0.5523826782685218,0.05005878,0.9612916,16.770128,2.1084623,17.823477,15.715014,13.838,13.043,12.778,AAA
2067480540564080768,306.5229839220687,40.20934954609591,0.2733686296291765,0.044088196,1.2178404,14.66268,4.436657,17.615974,13.179317,9.751,8.202,7.596,AAA
2067480540564081920,306.5185080539424,40.21169459868426,0.7533009981515828,0.061160993,1.0286558,17.049698,1.8904743,17.987476,16.097002,14.685,14.218,14.043,AAA
2067480609283556480,306.5505096350711,40.232489767113535,0.5814100586523724,0.03842616,1.1827325,15.998218,1.7851477,16.842407,15.05726,13.564,12.982,12.72,AAA
2067480609283556864,306.549770353599,40.23359232250528,0.5170076766717691,0.036827378,1.0511426,16.157717,1.9644775,17.125128,15.16065,13.517,13.032,12.754,AAA
2067480609285772032,306.5464809837531,40.22402848656492,0.34872299192357564,0.10676726,1.0759423,17.854422,2.4961357,19.181383,16.685247,14.632,13.982,13.539,AAA
2067480643643296256,306.5376770713642,40.23079616306063,0.7540796904972387,0.058674082,1.0156689,16.99695,1.8056374,17.8799,16.074263,14.739,14.304,14.152,AAA
2067480678003035648,306.5421863381121,40.2432927319772,2.1047803932317812,0.012789905,1.0206779,13.70201,0.94127655,14.089683,13.148406,12.514,12.171,12.064,AAA
2067480678003036032,306.5360525735033,40.23776908232661,0.3546923912828291,0.0406789,1.021864,16.292337,2.267375,17.46376,15.196385,13.305,12.682,12.389,AAA
2067480678003036928,306.54093328757506,40.25206060960745,0.2409953033959521,0.10572899,1.0401341,17.916805,2.3198795,19.150953,16.831074,14.878,14.211,13.875,AAA
2067480708063801088,306.50021188658235,40.212841529725615,0.7829323615801954,0.06532857,0.9546501,17.211786,1.8913898,18.17189,16.2805,14.839,14.189,14.065,AAA
2067480746722515968,306.510977552361,40.23163893351966,0.3073417243395141,0.07153226,1.0400075,17.282408,2.8564587,18.90799,16.05153,13.748,12.975,12.62,AAA
2067480746722517248,306.49852333477025,40.226711251850894,0.5808528425060843,0.07306426,1.0193352,17.302061,2.809082,18.899902,16.09082,13.797,13.044,12.647,AAA
2067480781082256896,306.48680600215096,40.2207388474196,1.0782892054674387,0.013312649,1.01391,13.900151,0.885005,14.257803,13.372798,12.767,12.452,12.379,AAA
2067480781082257664,306.4837888485195,40.21931741747561,0.8503199420426717,0.027194787,0.98734975,15.571319,1.6251707,16.33118,14.70601,13.532,13.081,12.885,AAA
2067480781082259968,306.4827322721639,40.233692009344274,0.33748777235924,0.046804924,1.0177321,16.642857,2.319745,17.858557,15.538812,13.685,13.031,12.727,AAA
2067480815441995520,306.4982887229082,40.234687638526346,0.5072468288281201,0.073456965,1.0352207,17.178686,2.2007904,18.322056,16.121265,14.386,13.699,13.568,AAA
2067480815441998080,306.48904644260267,40.23951765112107,0.53921718248944,0.059794247,1.026221,16.980501,1.9780178,17.949846,15.971828,14.476,13.799,13.598,UAA
2067480918521211008,306.50879251939784,40.248261904168054,0.575999345723079,0.040452357,0.95832235,16.283705,1.7087669,17.097685,15.388918,14.084,13.499,13.255,AAA
2067480918521211264,306.5056678096392,40.245880637899575,1.1184599970768525,0.04237665,0.978843,16.491259,1.4666796,17.155264,15.688584,14.611,14.094,13.93,AAA
2067480918521211520,306.5105605366077,40.25338756456237,0.8685793628476208,0.04222282,1.0159947,16.469982,1.5827436,17.214867,15.632123,14.491,13.922,13.913,AAA
2067480918521212416,306.50887393504104,40.25722013428835,0.3696468219255621,0.020956583,1.0265448,14.9661665,2.0967531,16.024475,13.927722,12.211,11.667,11.376,AAA
2067480918521212800,306.50279939252215,40.25209754370528,0.6950916001895374,0.02038031,1.0801969,14.812496,1.3065062,15.38335,14.076844,13.035,12.71,12.56,AAA
2067480948582733184,306.52429068620444,40.26507193587415,0.5179460394343353,0.096081235,0.9627095,17.767403,2.1101189,18.862349,16.75223,15.055,14.51,14.185,AAA
2067480948582735104,306.51388967449395,40.26784401183293,0.35949597045310505,0.073093,0.9684969,17.430483,1.9710083,18.402012,16.431004,14.802,14.271,13.977,AAA
2067480948582735872,306.51003715533545,40.26653537182618,0.2567173465634596,0.10370825,0.9707492,17.875452,2.576641,19.283056,16.706415,14.569,13.817,13.498,AAA
2067480952880947840,306.52009663580424,40.25545872385042,0.36139571472172927,0.036037646,0.9871666,16.045069,2.054841,17.070051,15.01521,13.298,12.79,12.535,AAA
2067480982941673856,306.4349828443734,40.19465125971052,0.5947693198138789,0.028305124,2.0178223,12.235632,1.6369848,12.785679,11.148694,9.92,9.554,9.405,AAA
2067480987240691456,306.4379571606265,40.187704068871945,0.888784331432289,0.026437307,1.0089803,15.611287,2.168951,16.734324,14.565372,12.973,12.274,12.091,AAA
2067480987240691840,306.43599880746376,40.189151867651994,0.6665703593521531,0.07191095,1.0222334,17.505795,2.3680592,18.785706,16.417646,14.657,14.074,13.882,AAA
2067480987242904704,306.43508285278017,40.19438867997538,0.4942749389307634,0.05014508,1.40853,13.599576,,,,9.92,9.554,9.405,AAA
2067481021600429952,306.44483889578237,40.197120924366786,0.49632922959731945,0.017354377,1.4171846,13.948299,2.1992493,15.078779,12.87953,11.126,10.579,10.295,AAA
2067481051661179392,306.4224690812871,40.203457261524456,1.0341445087206371,0.08587281,0.93076795,17.725159,2.236538,18.892876,16.656338,15.022,14.387,14.127,AAA
2067481051661181696,306.42618604159003,40.20675766839907,0.5114060192623331,0.09714677,1.0556314,17.826958,2.6679153,19.305359,16.637444,14.528,13.821,13.546,UAA
2067481055960172928,306.41882019929415,40.201858097255595,0.7969339002409607,0.05845398,0.9926489,17.069504,2.1323833,18.18,16.047617,14.478,13.905,13.76,AAU
2067481055960174720,306.41723970707443,40.20788044167305,0.5454619929556747,0.038738046,1.2793325,15.232874,1.8084726,15.540436,13.731963,12.337,11.898,11.728,AAA
2067481055962383744,306.4173939264661,40.20814126264652,0.5077511101881758,0.042940207,1.2005191,15.448235,,,,12.337,11.898,11.728,AAA
2067481086020923776,306.42421414747884,40.21475340622121,1.3782049705820305,0.085415,1.0002369,17.692541,2.0433826,18.740446,16.697063,15.519,14.717,14.474,AAA
2067481090319912960,306.4267807347793,40.216790253987085,2.336963678780235,0.012093451,1.0188795,13.626445,1.0397387,14.064479,13.02474,12.304,11.87,11.8,AAA
2067481120380663936,306.4575539067704,40.221379211246955,0.5231362637846715,0.065902494,1.005736,17.256844,2.1959515,18.37292,16.176968,14.923,14.363,13.68,AAU
2067481124679647104,306.446576178433,40.21956964921212,1.521042831121419,0.078868836,1.1307157,17.311235,1.9434242,18.223345,16.27992,14.844,14.134,13.906,AAA
2067481124679647232,306.4456488766047,40.21864894234358,0.3599773631754339,0.078341186,1.0538578,17.36295,2.4225025,18.629135,16.206633,14.303,13.7,13.357,AAA
2067481154740403200,306.46205070351056,40.22440764272583,0.4576421100423035,0.06383903,1.0144,17.124567,2.574417,18.533566,15.959148,13.94,13.268,13.015,AAA
2067481189100143616,306.4345540670751,40.22782544140736,0.3306133862156085,0.119194016,1.1755621,17.962975,2.6809788,19.444181,16.763203,14.691,13.796,13.488,AAA
2067481223459888768,306.4524624153283,40.2464087176669,0.422268347839912,0.06895486,0.94981986,17.335192,2.5400505,18.733261,16.19321,14.155,13.52,13.183,AAA
2067481262118607616,306.40957371699324,40.218142807701,1.551341558027,0.0753204,0.963094,17.457586,2.3657703,18.730507,16.364737,14.944,14.126,14.041,AAA
2067481296478345600,306.42320954082965,40.23223482709087,1.487571442346647,0.042543158,1.0400711,16.406742,1.6036682,17.158682,15.555014,14.546,13.73,13.627,AAA
2067481360898837632,306.4117876298551,40.232358938241816,0.912201706063132,0.03977617,0.9987477,16.363903,1.9325123,17.334194,15.401682,14.008,13.438,13.214,AAA
